RaisonSociale;lat;lon
AGRUM BIO;45.1875;5.7173
ARTISANS DU MONDE;48.8618;2.4359
ATMA - GOLDEN TEMPLE;45.1966;5.8294
AVRIL BIO;50.7157;3.0955
BCS STATION SERVICE;45.1857;5.7179
BEL AIR;45.1884;5.3843
BIBOU;48.1941;6.704
BIGALLET;45.4857;5.4761
BIO&TERROIR;45.1197;5.6709
BOISARD FILS;47.3013;0.1257
BRASSERIE DU VAL D AINAN;45.4597;5.6428
BRASSERIE IRVOY;45.1785;5.7339
BRYIO;43.6027;6.7712
BULLISI'BIO;45.2184;5.8626
CAFE MICHEL;44.7823;-0.6451
CAFE YEAH;44.8167;5.7494
CANOLA;45.1297;5.8352
CARESSE ET CALINE;45.1876;5.8792
CAVE MEUNIER;47.4488;0.8435
CHAMPI' DE LA FRISE;45.1539;5.749
CHATEAU SIMIAN;44.1918;4.7892
DES TRUCS A LA NOIX;45.2376;5.5085
DOMAINE DES LAUSES;44.1868;4.8408
DOMAINE DU CAILLOU;47.216;0.0278
DOMAINE GRISARD;45.5845;6.2102
ECOBURO;47.2025;-1.5487
ECOBURO PAPIER;47.2025;-1.5487
ECODIS;47.6946;-2.6376
ELIOSS;45.1701;5.7283
EQUINOPS;45.5121;6.3189
ETHIQUABLE;43.8546;0.6479
ETREZ COOPERATIVE LAITIÈRE;46.3337;5.1813
FERME CHAMP FLEURI;44.9446;5.6547
FERME DE COURTALAY;45.1458;5.7936
FERME DES CATTIERS;45.294;5.084
FESTI PRINT;45.1866;5.7305
GAEC ALLICOUD;45.1505;5.8163
GAEC DE PRE BLOND;45.1601;5.8629
GAEC DU MONT AIGUILLE;44.8137;5.5737
GAEC LA SOURIS VERTE;45.4905;4.9793
GAEC LES JARDINS DU BANCHET;45.4566;5.5784
GO NUTS;45.6915;4.9357
J AIME BOC OH;45.5615;5.8986
JEAN HERVE;46.9887;1.1746
JEAN NOEL PLAUCHU;45.2233;5.8074
L ESCARGOTIERE DU LYS;44.8967;5.7903
L'AGE DE FAIRE;44.1409;5.9638
L'EPICURIENNE;45.4895;6.1747
LA BULLE VERTE;44.4854;4.7664
LA FERME DU MAY;45.3186;5.521
LA FERME LOMBRICOLE;45.5033;6.0408
LA FRIGOULETTE;44.7717;5.1455
LA FURIEUSE;45.2069;5.6806
LA MANDORLE;48.8247;2.3402
LA POULE PERCHEE;45.1863;5.7226
LAITERIE DU MONT AIGUILLE;44.8295;5.6238
LE DAUPHIN;44.2649;5.2633
LE GALLINE FELICI;42.6824;2.9475
LE PAIN DU PEUIL;45.0917;5.6847
LE POSTILLON;45.1913;5.6973
LÉA NATURE;46.1623;-1.0929
LES BRASSEURS SAVOYARDS;45.8203;6.0044
LES JARDINS DE BARATIER;44.7568;4.3436
LES PAINS DU VERCORS;45.1686;5.5601
LES PETITS PLATS D'ISA;45.1851;5.7209
MAISON RAMBERT;45.1351;5.2801
MALTOBAR;45.1923;5.7342
MANGEZ BIO ISÈRE;45.1726;5.7314
MATTHIEU POINT;45.3505;5.1077
MIEL DE FLORE;44.9665;5.415
MIELLERIE DU PEUPLE ZÉLÉ;45.2273;5.6846
NOUS LE SAVONS;45.2232;5.9356
PAM ALPINE;45.0311;5.2395
PAPECO;49.0202;-1.502
PASTA  ANNA;45.1987;5.7389
PERL AMANDE;43.9083;5.914
PIERRE QUI ROULE;45.5082;6.2053
POTAGER DES PTITS CALIBRES;45.4282;6.0423
QUINOA D ANJOU;47.4086;-0.1201
SA ROGER;43.5031;5.3858
SAINT HUGON;45.2767;5.8889
SAINT JEAN;45.0555;5.0927
SALAISONS DU CHAMPSAUR;44.6477;6.1009
SANOFRUIT;44.5672;4.3676
SAS ESPRIT BISCUIT;44.7519;5.2634
SAUVALE PRODUCTION;47.842;-0.7349
SCEA DOMAINE DU LOUP DES VIGNE;45.6291;5.306
SCOP EPICE;43.3707;5.355
SCOP TOSSOLIA;44.0934;5.5472
SCOPTI;43.2825;5.6127
SEXTANT MONÉTIQUE;45.4595;4.3957
STEPHANIE PIVOT PAJOT;45.4321;5.5958
STUDIO LES TROIS BECS;44.8371;4.5953
THIERRY GALLAIS;46.9816;-2.2656
THOMAS LE PRINCE;45.8932;5.9402
TOURTONS DU CHAMPSAUR;44.6436;6.1736
